Packet number,Time
1,0
2,0.0752064804609928
3,0.15399841019460234
4,0.4340340312881805
5,0.7108276021957644
6,0.7376946337708545
7,1.2108482863760948
8,1.240933424419907
9,1.2994761982995888
10,1.3070627280739266
11,1.656868318478952
12,1.8786781116217097
13,1.9450149650339883
14,2.3361564061234157
15,2.3648374600049706
16,2.423883731566857
17,2.4834137412699326
18,2.5330470276395443
19,2.6324939520624806
20,2.9723930795882736
21,3.0176966192160037
22,3.3257085907014536
23,3.3408415451171787
24,3.3863768351473764
25,3.74680144442509
26,3.7669172277038947
27,4.149984035908593
28,4.596491622320951
29,4.733710577899032
30,4.764620169791425
31,4.8401941812438025
32,5.05744298104973
33,5.324391382593872
34,5.365819075030534
35,5.462119761661816
36,5.479042841304506
37,5.556840616708738
38,5.627591587945115
39,5.673279016565466
40,5.689234649410066
41,5.7393616188470435
42,5.895961672248749
43,6.126185919670153
44,6.140027174020382
45,6.526020160912835
46,6.542598031148306
47,6.5833418664984
48,6.900383419534102
49,6.942077142441866
50,7.444326128107877
51,7.627789324555419
52,8.108908114261592
53,8.182770925818183
54,8.200581854773201
55,8.350216781382331
56,8.819252898221194
57,8.888300360129092
58,9.249958158389363
59,9.318402319341914
60,9.394080790828653
61,9.467401157641854
62,9.478843859586279
63,9.54816601360828
64,9.568080991682889
65,10.01452353520953
66,10.148809798501082
67,10.261632297853039
68,10.286453113247486
69,10.305423899803081
70,10.534991648830418
71,10.631729090833923
72,10.693956960904597
73,11.148377852600554
74,11.152685162140582
75,11.223469486978331
76,11.276712311818269
77,11.345691843681227
78,11.416012338651628
79,11.420629257311719
80,11.87206699059227
81,12.28191254243948
82,12.35739365884405
83,12.40357450606343
84,12.429099116060879
85,12.478190494942595
86,12.63278384327395
87,12.66959080103181
88,12.996504598891388
89,13.025839046487068
90,13.070866997648821
91,13.13991540427379
92,13.182086689130825
93,13.23366773577955
94,13.247290052479102
95,13.656995072854993
96,14.049703317766276
97,14.372188932592984
98,14.384933659007494
99,14.425892591613657
100,14.55780930687868
101,14.99664412843829
102,15.007961329612744
103,15.153855018631964
104,15.600354256867956
105,15.61629256280119
106,15.644803706216111
107,15.841394190646138
108,15.879861329921376
109,16.119648654915228
110,16.18014534020367
111,16.576662789308944
112,16.691021429541777
113,16.757055061433448
114,16.758999827027104
115,16.815667203317243
116,16.899188585664394
117,17.20013490885896
118,17.255008003382816
119,17.728260302139937
120,18.145798946443414
121,18.32001936982257
122,18.370336190868038
123,18.394168746507656
124,18.685031665914693
125,18.750331217486956
126,18.819041310365822
127,19.12398987636657
128,19.531842752753192
129,19.566930974576614
130,19.572689410418473
131,19.963244009015497
132,20.021306161634282
133,20.12801762245348
134,20.196682319082893
135,20.331325552708584
136,20.614079141411352
137,20.810242981177336
138,20.85870917147486
139,21.227863599206824
140,21.29182284816167
141,21.307604125136038
142,21.344504924408326
143,21.830407339372528
144,21.84828658642896
145,21.85130992257302
146,21.89360597143149
147,21.947469968629335
148,21.993206456315054
149,22.003931692546644
150,22.148227979515077
151,22.251409480238053
152,22.28526074890517
153,22.68615164149628
154,22.78782433655249
155,22.819813682811052
156,23.286648687933962
157,23.35848353042359
158,23.5417049672744
159,23.678945411328712
160,23.70183607714462
161,23.71865142334843
162,24.07132905671147
163,24.092941832022163
164,24.30484410614947
165,24.354842886502333
166,24.521252068755985
167,24.997035663315014
168,25.086982431413016
169,25.125667024644084
170,25.203449376438396
171,25.52129303051255
172,25.888216520370072
173,25.933332690866475
174,26.121289358316623
175,26.41044838827763
176,26.682417439803874
177,26.718871708682997
178,26.7265263471168
179,27.17087963323052
180,27.4245211562656
181,27.49852480455953
182,27.996168281049805
183,28.493647758504494
184,28.529389688747877
185,28.571067680569545
186,28.604026837154613
187,28.655577889855095
188,29.02839041782739
189,29.077034408900197
190,29.57598761464616
191,29.90046400072188
192,29.960955719696337
193,29.99510697681464
194,30.36979333398104
195,30.85486760605731
196,31.25474307690836
197,31.261175577760742
198,31.473582180191265
199,31.64730663402019
200,31.654702753702246
201,31.717474809804568
202,31.96766126548415
203,32.02135464224684
204,32.16011112237514
